epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.151,1.32188,1.58843,1.27884,0.67311,0.70534,0.70778,0.40466,1.30947,1.1297,1.21067,0.00332925,0.00332925,0.00332925
2,410.527,1.25917,0.96232,1.21287,0.67868,0.75097,0.76456,0.45098,1.43164,2.24824,1.32054,0.00653066,0.00653066,0.00653066
3,611.759,1.34916,1.08921,1.28399,0.64506,0.68625,0.71663,0.40169,1.50722,1.38643,1.38255,0.00960008,0.00960008,0.00960008
4,811.727,1.41463,1.17244,1.34117,0.6526,0.60547,0.68168,0.36787,1.69315,2.3126,1.53693,0.009406,0.009406,0.009406
5,1012,1.34207,1.03116,1.29954,0.81606,0.79084,0.84938,0.51292,1.38487,0.93992,1.28641,0.009208,0.009208,0.009208
6,1212.34,1.26743,0.94553,1.25314,0.84481,0.79908,0.85705,0.49608,1.37496,0.917,1.30288,0.00901,0.00901,0.00901
7,1412.7,1.20818,0.86347,1.21472,0.85846,0.77094,0.85897,0.52258,1.29809,0.85171,1.28796,0.008812,0.008812,0.008812
8,1613.62,1.16997,0.80817,1.1942,0.79076,0.82558,0.8704,0.57076,1.29396,0.88025,1.24041,0.008614,0.008614,0.008614
9,1814.55,1.1428,0.76953,1.17334,0.85139,0.83485,0.87567,0.51788,1.29416,0.7944,1.24419,0.008416,0.008416,0.008416
10,2015.03,1.09183,0.72477,1.14861,0.84811,0.82596,0.87268,0.55197,1.31095,0.76577,1.2491,0.008218,0.008218,0.008218
11,2215.5,1.0654,0.69986,1.13971,0.83927,0.87401,0.89692,0.57084,1.26106,0.79157,1.25095,0.00802,0.00802,0.00802
12,2416.76,1.03755,0.66949,1.11842,0.85434,0.87385,0.88735,0.56233,1.26076,0.70404,1.24636,0.007822,0.007822,0.007822
13,2617.13,1.01592,0.6486,1.1106,0.84577,0.83614,0.88742,0.58927,1.24593,0.74483,1.24094,0.007624,0.007624,0.007624
14,2817.94,0.9883,0.62713,1.09706,0.87536,0.86662,0.89886,0.56258,1.21661,0.68418,1.21107,0.007426,0.007426,0.007426
15,3018.33,0.96506,0.60719,1.08454,0.86313,0.90326,0.89524,0.57561,1.18179,0.69117,1.19001,0.007228,0.007228,0.007228
16,3218.9,0.93858,0.58363,1.06851,0.86803,0.87713,0.89606,0.60796,1.1912,0.75575,1.22253,0.00703,0.00703,0.00703
17,3420.01,0.91441,0.56424,1.05147,0.88412,0.83402,0.90017,0.60822,1.2143,0.68176,1.22899,0.006832,0.006832,0.006832
18,3620.98,0.89665,0.55086,1.05104,0.84176,0.87921,0.90905,0.6162,1.17022,0.6879,1.21728,0.006634,0.006634,0.006634
19,3821.96,0.8784,0.53651,1.0403,0.86558,0.89242,0.909,0.60155,1.23524,0.72537,1.23298,0.006436,0.006436,0.006436
20,4022.56,0.85859,0.52532,1.02985,0.84717,0.87172,0.8939,0.60919,1.18415,0.67527,1.22316,0.006238,0.006238,0.006238
21,4223.26,0.83656,0.50612,1.01937,0.8693,0.87806,0.90916,0.63029,1.14363,0.68036,1.19646,0.00604,0.00604,0.00604
22,4424.27,0.82165,0.50025,1.01401,0.88627,0.86617,0.89983,0.61765,1.13773,0.6298,1.189,0.005842,0.005842,0.005842
23,4624.77,0.80995,0.4898,1.00685,0.87951,0.86571,0.88574,0.6046,1.18091,0.68703,1.21892,0.005644,0.005644,0.005644
24,4825.36,0.80543,0.48092,1.00029,0.8967,0.86832,0.89323,0.61751,1.15062,0.69401,1.19029,0.005446,0.005446,0.005446
25,5025.73,0.77928,0.46653,0.99189,0.87848,0.86549,0.89071,0.61399,1.16333,0.70035,1.21556,0.005248,0.005248,0.005248
26,5226.38,0.76998,0.45847,0.98636,0.88498,0.8867,0.9077,0.63765,1.12369,0.69925,1.19483,0.00505,0.00505,0.00505
27,5427.57,0.75813,0.45165,0.98082,0.88855,0.87863,0.90675,0.62918,1.13794,0.67515,1.21595,0.004852,0.004852,0.004852
28,5628.14,0.74926,0.44575,0.97916,0.89546,0.86417,0.8965,0.63587,1.11758,0.68442,1.19067,0.004654,0.004654,0.004654
